index,ithick,othick,width,ys0,ys1,work_roll_diam_1,work_roll_diam_2,work_roll_diam_3,work_roll_diam_4,work_roll_mileage_1,work_roll_mileage_2,work_roll_mileage_3,work_roll_mileage_4,reduction_1,reduction_2,reduction_3,reduction_4,tension_1,tension_2,tension_3,tension_4,tension_5,roll_speed_1,roll_speed_2,roll_speed_3,roll_speed_4,force_1,force_2,force_3,force_4,torque_1,torque_2,torque_3,torque_4,gap_1,gap_2,gap_3,gap_4,current_1,current_2,current_3,current_4,Anomaly_Reduction,Anomaly_Electric_1,Anomaly_Bearing_1,Anomaly_WorkRoll_1,Anomaly_Electric_2,Anomaly_Bearing_2,Anomaly_WorkRoll_2,Anomaly_Electric_3,Anomaly_Bearing_3,Anomaly_WorkRoll_3,Anomaly_Electric_4,Anomaly_Bearing_4,Anomaly_WorkRoll_4,class
0,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.2984139865254934,0.1807231398597422,0.1161626174288796,0.0678989840892933,88511.86466179763,236046.2225463524,292853.49344117887,353532.95648950705,87821.88368465455,8.3635183239639,10.20841516570124,11.550105672159429,12.391474180375644,7994299.093019897,5484841.236574186,4164018.7016232302,3419398.189660394,82472.63856532163,31551.81602458368,35208.59042648061,15758.39556183233,2.146319314732358,1.8394060223299733,1.641217006107943,1.5174483108492547,4051.666365668322,1826.6926541244331,2374.6257014236285,1133.2015450342883,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,1.1559847289075134,1.4109817879020925,1.5964269171298082,1.7127187824916423,0.2884722477818834,0.1973511895833328,0.1104961080954285,0.0678588166702121,91527.81273355792,234887.14830047145,295964.32731908286,353985.7799418898,90589.48644325802,9.822921224288498,12.23813091953537,13.75837815991064,14.759972422592748,8028897.450818634,5741663.240013531,4181007.786946044,3354818.69552674,68831.15075289158,29910.054220649745,27891.972507999973,11486.082762382302,2.2911730714234007,1.8703496845674,1.6489913308626154,1.5655755866420389,4014.342379624487,2248.537862272559,2228.216796145417,981.2451654890637,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,2.2958175956697,2.831070937689136,3.1929226297527213,3.4254375649832847,0.2969457544073349,0.1863914539815897,0.1090343150068205,0.0708589576182788,86689.03770870292,238414.1052585497,294911.92864972213,355809.92384464166,87286.80272784745,9.99350626217705,12.282941607585965,13.78609952602158,14.837466969151285,7818200.931882119,5699547.767906063,3956239.162386357,3715243.2725235736,67159.55787106704,26971.25517630939,26149.239828825284,15381.339536860596,2.3104298995101296,1.7876999781363394,1.6419429588353465,1.4813357546539871,3988.603713632481,1985.0964661345224,2143.4074869816304,1354.9000313621495,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,3.4789930665034623,4.285302799711625,4.82512001570886,5.1821109993762295,0.2847733324101524,0.1955984575217053,0.1196934178379212,0.0650327123812956,87757.15935725645,235469.70042364253,297509.7416159558,355686.6758782265,87357.34203605281,10.381242077411576,12.905547203984504,14.660287069861283,15.68,7825001.642701187,5761394.082207625,4203088.582610927,3389563.1579432366,63754.92955031985,33346.62464705466,29932.99100841355,12915.318519543742,2.273770438486496,1.8506500473726983,1.5812156627070442,1.622438537467465,3905.802376075559,2527.851308315994,2693.3510925186047,1248.1714877374857,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,4.655391725281828,5.747754817337023,6.4864185306348086,6.958963020752463,0.2827419940536853,0.2067935506252609,0.1081282748296569,0.0667823973166586,90407.07759972314,235199.76234683677,292058.98014478583,353824.2420086811,85759.21257565642,10.351841478122632,13.050626966387728,14.632852010074794,15.68,7816037.826856663,5820569.906598676,3947420.561615196,3446261.032569429,63528.42005047929,35142.177786044165,23967.16155031189,14255.631346027358,2.2322104499324515,1.786220684208319,1.5808514705119343,1.4920703418785692,3895.617115164398,2820.407958614429,2067.159773870375,1284.6357895064014,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,5.7647449282362615,7.146322874655397,8.054545446028673,8.63930735939859,0.2808665783586619,0.1974298758883541,0.1175633681659726,0.0702397631847945,86940.57358924477,236431.17260935323,295699.5675053184,355491.42352429585,89347.8578072374,10.324845088584572,12.864726431242383,14.57864051326242,15.68,7917273.041847631,5804083.450126322,4126432.295193349,3437474.039475308,64963.46506814856,32862.27624423336,31625.518099965277,13652.947824385812,2.193999063639013,1.8984622687589363,1.6775301912190157,1.509959154118926,4116.276010052624,2451.8177546000256,2800.3889184856275,1355.8761951574186,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,7.945420119449738,9.877618981989738,11.17222160804117,11.993026054768627,0.2911102845522308,0.187489591353626,0.124068151366442,0.0614248907427077,87417.91370868242,237789.6272747173,294284.0191088287,351362.8807049674,85488.0763508078,10.47404273848244,12.890964382760318,14.716857713154342,15.68,7980687.9519209,5662621.488646018,4323974.019588159,3223715.70339056,63858.77981653651,24713.65587936222,29890.154179966223,12878.646326865328,2.236788787618235,1.8834695994145776,1.6259317159955715,1.5381821033325584,3940.9289745701967,1875.1170490127183,2630.0785275839985,1232.528572783761,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,9.132632241482929,11.338784413717631,12.840348453762438,13.770323182370149,0.2859238723804687,0.1947847509113907,0.1162643901811709,0.0681026030696124,88907.2709688797,235673.63988968867,296618.17853927234,352789.8640317095,87109.15834805233,10.397968632872,12.913278337240932,14.612151183868477,15.679999999999998,7819407.757228505,5647769.883642873,3888383.6147760926,3424596.714763523,63099.35046183545,33899.0994622945,28025.469366724446,14448.210710305391,2.354217675203097,1.8515072889761592,1.6446217706950244,1.5391893022556398,4052.92097727061,2540.512487887786,2437.827272763322,1455.665590225191,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,10.311221513427704,12.802479088251896,14.496607020546149,15.547620309971666,0.2916525779180452,0.1840976760881737,0.1229784664473123,0.0657734306840078,87301.89675596774,236805.2477825431,292841.1342788796,354898.5730788582,89602.05771734145,10.482061408012768,12.847201314192546,14.648672606874756,15.68,7883039.579042583,5484953.308010813,4508007.405922363,3328971.668323364,62706.87287719686,32374.70781840129,32710.369633258688,11895.049232528429,2.2499731546152693,1.8261079726356368,1.643388316919014,1.5043732619142942,4029.657992567025,2512.221166888948,2920.442038461019,1177.0847626513707,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,3.4,1.61,918.666265285446,400.0,593.8451717184587,500.0,500.0,500.0,500.0,11.458841485477508,14.209044480231126,16.10040503253046,17.264332363192928,0.2852273211385531,0.1975474645937008,0.1124479603078293,0.0698224893736489,85926.238633847,233535.17159048317,297022.557324605,352411.7862013039,92252.74959054284,10.377253787503928,12.931922237929871,14.570325636810034,15.66402699523326,7647990.837165329,5703768.193417524,4087806.789540999,3468727.095035992,63888.44053091811,31640.34298843024,25628.41676492066,12462.171127064756,2.2909759108456678,1.7309373604509275,1.6846418779208177,1.5397866051248963,4027.059150671278,2506.6055051770004,2327.9205081453824,1222.05316668585,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
